date;en;nl
01/01;Badgers are asleep deep underground.B84CB1:B356;Dasjes slapen diep onder de grond.
02/01;Dunnocks commence their birdsong.;Heggenmussen beginnen hun gezang.
03/01;The black-spotted chestnut moth can be spotted flying in the night.;De zwartgevlekte kastanjemot kan 's nachts vliegend worden gespot.
04/01;Marsh tits begins to sing.;Rietmezen beginnen te zingen.
05/01;Beavers are satisfying their appetite with willow bark.;Bevers bevredigen hun eetlust met wilgenbast.
06/01;Rabbits gnaw the bark of holly and other scrubs if the weather is severe.;Konijnen knagen aan de bast van hulst en andere struiken als het weer streng is.
07/01;Stock doves can be heard calling.;Houtduiven zijn te horen.
08/01;Smooth newts begin breeding if the weather is warm enough.;Gewone watersalamanders beginnen te broeden als het weer warm genoeg is.
09/01;Rabbits start devoting themselves to breeding.;Konijnen beginnen zich te wijden aan fokken.
10/01;Lesser spotted woodpecker sometimes drums.;Gevlekte specht roffelt soms.
11/01;Red dead-nettle already flowering here and there.;Paarse dovenetel bloeit hier en daar al.
12/01;The pale brindled beauty moth flies from now till late April.;De bleke brindled beauty-mot vliegt van nu tot eind april.
13/01;Swan’s-neck thread moss is forming its reproductive organs.;Zwaan-halsdraadmos vormt zijn voortplantingsorganen.
14/01;Common winter damselflies on wing on warm days.;Gewone winterjuffers vliegen op warme dagen.
15/01;First yellow daffodils are flowering.;De eerste gele narcissen bloeien.
16/01;The first buntings start singing.;De eerste gorzen beginnen te zingen.
17/01;Dark green cushions of broom fork-moss are growing on sandy banks and tree trunks.;Donkergroene kussens van bezemvorkmos groeien op zandige oevers en boomstammen.
18/01;The loudest singers now are the great tits.;De luidste zangers zijn nu de koolmezen.
19/01;Brown hairstreak butterflies are laying eggs in blackthorn bushes.;Bruine iepvlinders leggen eieren in sleedoornstruiken.
20/01;Beavers are starting their mating season.;Bevers beginnen aan hun paringsseizoen.
21/01;Wood larks are singing.;Boomleeuweriken zingen.
22/01;Black witch’s butter fungus (Exidia glandulosa) is growing on dead branches.;Zwarte heksenzwam (Exidia glandulosa) groeit op dode takken.
23/01;Dumbledore beetle appears.;Dumbledore-kever verschijnt.
24/01;First snowdrop leaves are emerging from the snow.;De eerste sneeuwklokjesbladeren komen uit de sneeuw.
25/01;Early skylarks start singing.;Vroege leeuweriken beginnen te zingen.
26/01;Nathusius’ pipistrelle bats may be spotted flying if it is not too cold.;Nathusius' dwergvleermuizen kunnen worden gespot als het niet te koud is.
27/01;Hare mating season begins and continues well into summer.;Het paarseizoen van de hazen begint en duurt tot ver in de zomer.
28/01;The first robins start building their nests.;De eerste roodborsten beginnen hun nesten te bouwen.
29/01;Winter gnats abound.;Wintermuggen zijn talrijk.
30/01;The first snowdrops begin to flower.;De eerste sneeuwklokjes beginnen te bloeien.
31/01;Earthworms lie out.;Regenwormen liggen buiten.
01/02;Small tortoiseshell butterflies start to emerge from hibernation.;Kleine vosvlinders beginnen uit hun winterslaap te komen.
02/02;Greenfinches separate from flocks to continue on their own.;Groenlingen scheiden zich af van de groep om alleen verder te gaan.
03/02;Moles prepare their underground nests for their young.;Mollen bereiden hun ondergrondse nesten voor op hun jongen.
04/02;Tree creepers commence their spring call.;Boomkruipers beginnen hun lenteroep.
05/02;Tawny owls hoot at dusk.;Bosuilen roepen in de schemering.
06/02;Hawfinches feed on holly berries.;Appelvinken voeden zich met hulstbessen.
07/02;Blackbirds sing at dusk.;Merels zingen bij zonsondergang.
08/02;Winter jasmine is flowering profusely.;Winterjasmijn bloeit uitbundig.
09/02;Collared doves are cooing loudly in the morning.;Turkse tortels koeren luid in de ochtend.
10/02;First crop of glistening ink cap fungus appears on dead broad-leaved trees.;Eerste oogst van glanzende inktzwam verschijnt op dode loofbomen.
11/02;Greater spotted woodpeckers drum to mark their territory.;Grote bonte spechten roffelen om hun territorium te markeren.
12/02;Male moles in search for a partner dig long tunnels throwing up many hillocks.;Mannelijke mollen graven lange tunnels op zoek naar een partner en gooien veel heuvels omhoog.
13/02;Badgers are giving birth to young.;Dassen brengen jongen ter wereld.
14/02;Woodcocks are making their flight displays ‘roding’, to mark their breeding territory.;Houtsnippen voeren hun vluchtshows uit, 'roding' genoemd, om hun broedgebied te markeren.
15/02;Yellowhammer starts to sing its characteristically shrill notes.;Geelgors begint zijn kenmerkend schrille noten te zingen.
16/02;Barn owls are mating.;Kerkuilen paren.
17/02;Peacock and brimstone butterflies emerge from hibernation.;Pauwoog- en citroenvlinders komen uit hun winterslaap.
18/02;First primroses appearing.;Eerste sleutelbloemen verschijnen.
19/02;The great crested grebe’s mirror courtship dance begins.;Het spiegelende hofdans van de kuifduiker begint.
20/02;Salmon start to descend rivers on their migration to the sea.;Zalmen beginnen af te dalen naar rivieren op hun migratie naar de zee.
21/02;Frogs are busy mating and producing frogspawn.;Kikkers zijn druk bezig met paren en leggen kikkerdril.
22/02;Chaffinches commence singing.;Vinken beginnen te zingen.
23/02;Lesser periwinkle blooming with brightly blue flowers.;Kleine maagdenpalm bloeit met felblauwe bloemen.
24/02;Goldcrests begin their almost inaudibly high chirping.;Goudhaantjes beginnen hun bijna onhoorbare hoge gekwetter.
25/02;Adders emerge from hibernation.;Adders ontwaken uit hun winterslaap.
26/02;Brent geese start to leave for the Arctic islands.;Brandganzen beginnen te vertrekken naar de Arctische eilanden.
27/02;Early-nesting herons already have eggs.;Vroeg broedende reigers hebben al eieren.
28/02;Slowworms revive from torpidity.;Hazelwormen herleven van hun verdoving.
01/03;Most tawny owls have laid their eggs.;De meeste kerkuilen hebben hun eieren gelegd.
02/03;Wood anemones in flower in woodland.;Bosanemonen bloeien in het bos.
03/03;The first queen wasps emerge from hibernation.;De eerste koninginnenwespen ontwaken uit hun winterslaap.
04/03;Willows and marsh-marigolds in flower.;Wilgen en moerasdotterbloemen in bloei.
05/03;Curlews begin their display flights, rising steeply then gliding down while singing.;Wulp begint zijn vliegshows, stijgt steil omhoog en glijdt dan zingend naar beneden.
06/03;Mistle thrushes are nesting.;Lijsters nestelen.
07/03;Blackthorn in flower.;Sleedoorn in bloei.
08/03;Early swans may start building their nest.;Vroege zwanen kunnen beginnen met het bouwen van hun nest.
09/03;First lesser celandine flowers appearing.;Eerste bloemen van de kleine maagdenpalm verschijnen.
10/03;Male hares start to fight, standing on hind legs and boxing.;Mannelijke hazen beginnen te vechten, staande op hun achterpoten en boksend.
11/03;The first generation of brimstone butterflies start their flight period.;De eerste generatie citroenvlinders begint aan hun vliegperiode.
12/03;Male yews begin shedding abundant amounts pollen.;Mannelijke taxussen beginnen overvloedige hoeveelheden pollen af te werpen.
13/03;The large white butterflies are on the wing.;De grote witte vlinders zijn in de lucht.
14/03;Sparrowhawks can be seen soaring over their territories only at this time of year.;Sperwerbuizerds zijn alleen op dit moment van het jaar te zien zweven over hun territoria.
15/03;Common frogs start to emerge.;Gewone kikkers beginnen tevoorschijn te komen.
16/03;Black ants remove the seal from the entrance to the nest and begin to forage above ground.;Zwarte mieren verwijderen het zegel van de ingang van het nest en beginnen bovengronds te foerageren.
17/03;The first speckled wood butterflies can be spotted flying.;De eerste gehakkelde aurelia-vlinders kunnen worden gezien tijdens het vliegen.
18/03;Common frogs start croaking to attract the attention of females.;Gewone kikkers beginnen te kwaken om de aandacht van vrouwtjes te trekken.
19/03;Wrens are singing higher in the trees, their voices carrying further.;Winterkoningen zingen hoger in de bomen, hun stemmen dragen verder.
20/03;The first young European pine martens are born.;De eerste jonge Europese boommarters worden geboren.
21/03;The first newts return to the water.;De eerste watersalamanders keren terug naar het water.
22/03;Rosemary has started flowering.;Rozemarijn is begonnen te bloeien.
23/03;First horse chestnut leaves are unfolding.;De eerste bladeren van de paardenkastanje ontvouwen zich.
24/03;Toads are mating and laying eggs.;Padden paren en leggen eieren.
25/03;Kingfishers are looking for nesting holes.;IJsvogels zoeken naar nestholen.
26/03;First hazel leaves are appearing.;Eerste hazelaarbladeren verschijnen.
28/03;Magnolia flowering before the first leaves appear.;Magnolia bloeit voordat de eerste bladeren verschijnen.
29/03;Wheatears have arrived, one of the first long-distance migrant birds to return.;Bonte kwikstaarten zijn aangekomen, een van de eerste trekvogels die terugkeren.
30/03;Long-eared owls are nesting.;Ransuilen nestelen.
31/03;Crows, jackdaws, magpies and rooks are building or repairing their nests.;Kraaien, kauwen, eksters en roeken bouwen of repareren hun nesten.
01/04;"Mating season has started for adders; the males compete in a dance/fight to impress females.";"Het paarseizoen is begonnen voor adders; de mannetjes strijden in een dans/ gevecht om indruk te maken op de vrouwtjes."
02/04;The first Chiffchaffs have returned and begin to sing their name.;De eerste tjiftjaffen zijn teruggekeerd en beginnen hun naam te zingen.
03/04;The first young of the wild boar are born.;De eerste jongen van het wilde zwijn worden geboren.
04/04;First willow warbler song can be heard.;Eerste fitisgezang is te horen.
05/04;Tadpoles abound in ponds and pools.;Kikkervisjes zijn overvloedig in vijvers en poelen.
06/04;Sparrowhawks and kestrels nesting.;Sperwerbuizerds en torenvalken broeden.
07/04;The first nightingale returns.;De eerste nachtegaal keert terug.
08/04;Most buzzards have laid their first egg.;De meeste buizerds hebben hun eerste ei gelegd.
09/04;The distinctive orange-tip butterflies are flying.;De kenmerkende oranjetipvlinders vliegen.
10/04;Grass snakes are mating.;Grasslangen paren.
11/04;Cuckoo males begin to arrive from Sub-Saharan Africa and start calling their name.;Mannelijke koekoeken beginnen aan te komen vanuit Sub-Sahara Afrika en beginnen hun naam te roepen.
12/04;Beavers are having their first young.;Bevers krijgen hun eerste jongen.
13/04;Ash trees are flowering.;Esdoorns staan in bloei.
14/04;Yellow wagtails have arrived from their winter retreats.;Gele kwikstaarten zijn teruggekeerd van hun winterverblijf.
15/04;Hedgehogs are emerging from hibernation.;Egel komen uit hun winterslaap tevoorschijn.
16/04;Small tortoiseshell butterfly and comma butterfly are at the peak of their flight period.;Kleine vos en gehakkelde aurelia zijn op het hoogtepunt van hun vliegperiode.
17/04;Young mallards are hatching and can be seen swimming.;Jonge wilde eenden worden geboren en kunnen worden gezien zwemmen.
18/04;Crab apples flowering.;Wilde appels staan in bloei.
19/04;Grey squirrels prepare their dreys (tree nests).;Grijze eekhoorns bereiden hun nesten in bomen voor.
20/04;Yellow archangel in flower.;Grote dovenetel bloeit.
21/04;Sandpipers, European pied flycatchers, grasshopper warblers and many other birds have returned to the country.;Bonte strandlopers, bonte vliegenvangers, sprinkhaanzangers en vele andere vogels zijn teruggekeerd naar het land.
22/04;Pedunculate or English oak leaves unfolding.;Bladeren van zomereik ontvouwen zich.
23/04;Hawthorn starts flowering.;Meidoorn begint te bloeien.
24/04;The wood warbler has arrived to spend the summer.;De fluiter is aangekomen om de zomer door te brengen.
25/04;Great and blue tits are now sitting on eggs.;Kool- en pimpelmezen zitten nu op eieren.
26/04;Rare migrating turtle doves that have survived being hunted while crossing Malta arrive in UK.;Zeldzame trekkende tortelduiven die de jacht op Malta hebben overleefd, komen aan in het Verenigd Koninkrijk.
27/04;First flowers of the horse chestnut tree appearing.;Eerste bloemen van de paardenkastanjeboom verschijnen.
28/04;The reed warbler is in the country.;De rietzanger is in het land.
29/04;The first swift has arrived and will stay for one hundred days.;De eerste gierzwaluw is aangekomen en zal honderd dagen blijven.
30/04;The male wren is busy making several nests, the female chooses one of them.;Het mannetje van de winterkoning is druk bezig met het maken van verschillende nesten, het vrouwtje kiest er een van.
01/05;Female cuckoos arriving.;Vrouwelijke koekoeken arriveren.
02/05;The first nightjars arrive, churring and wing clapping at dusk.;De eerste nachtzwaluwen arriveren, tjilpend en met klappende vleugels in de schemering.
03/05;Wild bluebells are in full flower in the woods.;Wilde boshyacinten staan in volle bloei in de bossen.
04/05;Young tawny owls may be calling now, before they have broken out of their egg.;Jonge bosuilen kunnen nu roepen, voordat ze uit hun ei zijn gebroken.
05/05;The first young grebes have hatched and are carried on the backs of their parents.;De eerste jonge futen zijn uitgekomen en worden op de rug van hun ouders gedragen.
06/05;Spotted flycatchers are arriving from Africa.;Gevlekte vliegenvangers arriveren uit Afrika.
07/05;The first golden orioles can be heard.;De eerste wielewalen zijn te horen.
08/05;Oaks in flower, producing a lot of pollen.;Eikenbomen bloeien en produceren veel pollen.
09/05;Orange tip and holly blue butterflies on wing.;Oranjetip en hulstblauwe vlinders in de lucht.
10/05;The last of the summer migrants arrive: swifts are screaming across the sky.;De laatste zomertrekvogels arriveren: zwaluwen scheren over de lucht.
11/05;Oxeye daisy in flower.;Margriet staat in bloei.
12/05;Butterflies abound: speckled wood, wall brown, green-veined white, dingy skipper on wing.;Vlinders overvloedig: bonte zandoog, muurvlinder, groentje, grauw dikkopje in de lucht.
13/05;Meadow froghoppers are appearing from their foam ‘cuckoo spit’ nests.;Veenpluis komt tevoorschijn uit hun schuimige 'koekoeksspuug' nesten.
14/05;Young moles are being born.;Jonge mollen worden geboren.
15/05;Young eels start ascending rivers from the sea.;Jonge palingen beginnen rivieren vanuit de zee op te zwemmen.
16/05;Bogbean and yellow iris in flower along the banks of ponds.;Veenpluis en gele lis bloeien langs de oevers van vijvers.
17/05;The air is full of blackbird song.;De lucht is gevuld met merelliedjes.
18/05;Ash are coming into leaf, one of the last trees of the spring.;Esdoorns komen in blad, een van de laatste bomen van de lente.
19/05;Swallowtail butterflies are on the wing.;Koninginnepages zijn in de lucht.
20/05;The first red deer calves of the year are being born.;De eerste edelhertenkalveren van het jaar worden geboren.
21/05;Young great tits are leaving their nests.;Jonge koolmezen verlaten hun nesten.
22/05;Most swifts have laid an egg under loose roof tiles.;De meeste zwaluwen hebben een ei gelegd onder losse dakpannen.
23/05;Mistle thrushes cease singing, their work done.;Misteltrushes stoppen met zingen, hun werk is gedaan.
24/05;Fox cubs are emerging from their earths and playing above the ground.;Voswelpen komen uit hun holen en spelen boven de grond.
25/05;Common spotted orchid, common mallow, yellow tattle are in flower.;Gewone rietorchidee, gewone kaasjeskruid, gele ratelaar staan in bloei.
26/05;Brightly coloured garden tiger moths are on the wing.;Felgekleurde tijgermotten van de tuin zijn in de lucht.
27/05;Hummingbird hawk-moths are on the wing, looking for nectar.;Kolibriekolibries zijn in de lucht en zoeken nectar.
28/05;The first caddisflies are emerging.;De eerste kokerjuffers komen tevoorschijn.
29/05;"Robins have their second brood; the young of the first brood have left their nest.";"Roodborsten hebben hun tweede broedsel; de jongen van het eerste broedsel hebben hun nest verlaten."
30/05;Meadows are full of buttercups.;Weilanden zijn vol boterbloemen.
31/05;Poisonous hound’s tongue is in flower.;Giftig hondstand staat in bloei.
01/06;Most Eurasian hobbies have laid an egg.;De meeste smelleken hebben een ei gelegd.
02/06;The flowering period of the lesser butterfly orchid begins.;De bloeiperiode van de kleine vlinderorchidee begint.
03/06;Female cuckoos are visiting nests, removing one of the eggs to lay one of their own.;Vrouwelijke koekoeken bezoeken nesten en verwijderen een van de eieren om er een van henzelf te leggen.
04/06;Wild dog roses are blooming.;Wilde hondsrozen bloeien.
05/06;Hedgehogs are giving birth.;Hedgehogs krijgen jongen.
06/06;Extremely poisonous deadly nightshade or belladonna in flower.;Extreem giftige wolfskers staat in bloei.
07/06;Meadowsweet with large white plumes is flowering in damp meadows.;Moerasspirea met grote witte pluimen bloeit in vochtige weilanden.
08/06;Rough chervil is in flower.;Ruwe kervel staat in bloei.
09/06;The green tortrix moth is looking for suitable leaves to roll them into egg cases.;De groene tortrixmot zoekt geschikte bladeren om ze tot eicocons te rollen.
10/06;Snipe are displaying by flying downwards making a ‘drumming’ noise with their vibrating tail feathers.;Snijsnuiten geven een vliegshow door naar beneden te vliegen en een 'trommelend' geluid te maken met hun trillende staartveren.
11/06;Most of the female reed warblers have laid their eggs.;De meeste vrouwelijke rietzangers hebben hun eieren gelegd.
12/06;Poppies are flowering in fields, on unused sites and road sides.;Klaprozen bloeien in velden, op ongebruikte terreinen en langs de weg.
13/06;Stag beetles are emerging.;Stagkevers komen tevoorschijn.
14/06;Young swallows are big enough to start leaving their nests.;Jonge zwaluwen zijn groot genoeg om hun nest te verlaten.
15/06;The first edible giant puffballs are appearing in meadows.;De eerste eetbare reuzenpuffballs verschijnen in weilanden.
16/06;Large and small tortoiseshell butterflies can be seen.;Grote en kleine vosvlinders zijn te zien.
17/06;Bats are fully active, each catching thousands of insects at night.;Vleermuizen zijn volledig actief en vangen 's nachts duizenden insecten.
18/05;Scotch bonnet fungi suddenly appear in pastures and sometimes in fairy-rings.;Schotse bonnetpaddenstoelen verschijnen plotseling in weilanden en soms in heksenkringen.
19/06;Young harvest mice are in their woven grass nests suspended between stalks.;Jonge oogstmuisjes zitten in hun geweven grasnesten die tussen stengels hangen.
